property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1C3E72FD-C725-F410-E063-4804A8C0DFA6,UB3 3FF,"CARPENTER HOUSE, 45",PUMP LANE,F,2024-06-11,390000,,,,
2D4D7609-3F76-BDF9-E063-4804A8C0672F,UB3 4LW,4,FULLER WAY,T,2024-06-12,475000,,,,
2F7F2B42-A221-E08F-E063-4804A8C05A49,UB3 1FP,7,GRAMOPHONE LANE,F,2024-06-13,255000,,,,
25E9DA81-2093-555E-E063-4704A8C066F2,UB3 5HT,79,ETON ROAD,S,2024-06-17,415000,,,,
25E9DA80-5519-555E-E063-4704A8C066F2,UB3 3PF,81,ABBOTSWOOD WAY,F,2024-06-19,210000,,,,
1EAE3DF6-2120-9EB1-E063-4704A8C09D02,UB3 2GE,14,GREENFIELD PLACE,T,2024-06-19,585000,,,,
2859C1AB-736E-52B4-E063-4804A8C05948,UB3 2JZ,2,BUTCHERS MEWS,F,2024-06-19,320000,,,,
2859C1AC-35A2-52B4-E063-4804A8C05948,UB3 2AY,20,COMPTON ROAD,S,2024-06-20,525000,,,,
25E9DA81-2004-555E-E063-4704A8C066F2,UB3 1LA,4,PRINCES PARK PARADE,T,2024-06-21,420000,,,,
25E9DA81-E493-555E-E063-4704A8C066F2,UB3 4AG,14,RUTLAND ROAD,S,2024-06-21,508000,,,,
25E9DA80-55A0-555E-E063-4704A8C066F2,UB3 2FJ,"SEVERUS HOUSE, 155",VARCOE GARDENS,F,2024-06-24,308000,,,,
1EAE3DF6-C4D3-9EB1-E063-4704A8C09D02,UB3 2NG,11,LANNOCK ROAD,S,2024-06-24,602000,,,,
2D4D7608-8F59-BDF9-E063-4804A8C0672F,UB3 2FH,"SPA HOUSE, 48",VARCOE GARDENS,F,2024-06-26,300000,,,,
1EAE3DF6-C440-9EB1-E063-4704A8C09D02,UB3 5NE,1,CROFT CLOSE,S,2024-06-26,460000,,,,
2D4D7608-941F-BDF9-E063-4804A8C0672F,UB3 1FN,14,POWERHOUSE LANE,F,2024-06-27,270000,,,,
1EAE3DF7-6987-9EB1-E063-4704A8C09D02,UB3 2QH,19,CRANMER ROAD,T,2024-06-28,405000,,,,
2131FCF5-A608-86E8-E063-4804A8C0372B,UB3 3EQ,185,COLDHARBOUR LANE,S,2024-06-28,557500,,,,
2F7F2B42-A290-E08F-E063-4804A8C05A49,UB3 1FN,14,POWERHOUSE LANE,F,2024-06-28,260000,,,,
2D4D7608-9426-BDF9-E063-4804A8C0672F,UB3 1FP,7,GRAMOPHONE LANE,F,2024-06-28,320000,,,,
25E9DA80-5523-555E-E063-4704A8C066F2,UB3 2LG,227,CHURCH ROAD,T,2024-07-01,315000,,,,
2859C1AC-D672-52B4-E063-4804A8C05948,UB3 2SG,83A,WOOD END GREEN ROAD,F,2024-07-02,260000,,,,
25E9DA81-C074-555E-E063-4704A8C066F2,UB3 5FD,"CIRCA APARTMENTS, 5",NOBEL DRIVE,F,2024-07-03,230000,,,,
2D4D7609-E484-BDF9-E063-4804A8C0672F,UB3 4RD,42,CARFAX ROAD,T,2024-07-04,400000,,,,
34222873-0E4D-4D2B-E063-4704A8C07853,UB3 2BW,51,CENTRAL AVENUE,S,2024-07-04,575000,,,,
2F7F2B43-3EB6-E08F-E063-4804A8C05A49,UB3 1NE,102,DAWLEY ROAD,S,2024-07-05,525000,,,,
237B17FE-C10E-22AC-E063-4804A8C0EA3A,UB3 3PQ,116,ABBOTSWOOD WAY,T,2024-07-05,360000,,,,
1EAE3DF7-6AF9-9EB1-E063-4704A8C09D02,UB3 5NB,102,THE CRESCENT,F,2024-07-08,165000,,,,
237B17FE-3A5E-22AC-E063-4804A8C0EA3A,UB3 4JH,40,MONMOUTH ROAD,S,2024-07-08,460000,,,,
1EAE3DF6-1FE7-9EB1-E063-4704A8C09D02,UB3 3PQ,90,ABBOTSWOOD WAY,F,2024-07-08,139000,,,,
2D4D7608-9424-BDF9-E063-4804A8C0672F,UB3 1FP,7,GRAMOPHONE LANE,F,2024-07-09,238500,,,,
2ACACE8C-8549-295E-E063-4804A8C0B0EB,UB3 1JJ,17,LIME GROVE,T,2024-07-12,425000,,,,
1EAE3DF6-C421-9EB1-E063-4704A8C09D02,UB3 1EB,22,DAWLEY PARADE,T,2024-07-12,485000,,,,
3DCCB7C9-954E-5B9D-E063-4704A8C0331E,UB3 2PB,123,JUDGE HEATH LANE,S,2024-07-12,645000,,,,
36A61A95-55F5-DEF2-E063-4704A8C046AE,UB3 2BZ,88,CENTRAL AVENUE,S,2024-07-12,650000,,,,
2859C1AB-72AF-52B4-E063-4804A8C05948,UB3 4JH,33,MONMOUTH ROAD,S,2024-07-12,680000,,,,
25E9DA81-E5C1-555E-E063-4704A8C066F2,UB3 3JD,7,HUNTERS GROVE,S,2024-07-12,445000,,,,
2131FCF5-A63A-86E8-E063-4804A8C0372B,UB3 2DD,34,REID CLOSE,F,2024-07-15,218000,,,,
